"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",14455,"e","estimate data"
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",14500,,
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",22048,"e","estimate data"
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",80910,,
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",94895,,
"ITC11","Torino","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",220226,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",46720,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",23784,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",7480,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",22800,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",22600,,
"ITD57","Ravenna","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",31250,,
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2010","2010",1307,"e","estimate data"
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2011","2011",1400,"e","estimate data"
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2012","2012",1258,"e","estimate data"
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2013","2013",2614,,
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2014","2014",2791,,
"ITC12","Vercelli","ART","total area - hectares","SOYA","soya beans","2015","2015",3127,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",1049514,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",807129,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",1356094,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",1068255,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",1069699,,
"ITD4","Friuli-Venezia Giulia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",2917028,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",92,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",90,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",90,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",80,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",96,,
"ITE13","Pistoia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",92,"e","estimate data"
"ITF61","Cosenza","ART","total area - hectares","SOYA","soya beans","2010","2010",40,"e","estimate data"
"ITF61","Cosenza","ART","total area - hectares","SOYA","soya beans","2011","2011",44,,
